sourashtra_word,hindi_pronunciation,tamil_pronunciation,roman_readable,havard-kyoto,iast,ipa,meaning_english,meaning_tamil,category,source
ꢣꢱ꣄ꢡꢵꢮꢾꢙ꣄,दस्तावेज,த3ஸ்தாவேஜ்,dastaave'j,dastAvEj,dastāvĕj,d̪əs̪t̪ɑːʋed͡ʒ,record,ஆவணம்,Law-and-Order,words
ꢩꢵꢬꢡ ꢣꢠ꣄ꢞꢥꢵ ꢱꢵꢱꢥꣁ,भारत दण्डना सासना॑,பா4ரத த3ண்ட3னா ஸாஸனொ,bhaarata dand'anaa saasano',bhArata daNDanA sAsanO,bhārata daṇḍanā sāsanŏ,bʰɑːɾət̪ə d̪əɳɖən̪ɑː s̪ɑːs̪ən̪o,Indian Penal Code,இந்தியக் குற்றவியல் சட்டம்,Law-and-Order,words
ꢱꢖ꣄ꢒꢪ꣄,सङकम्,ஸங்க3ம்,sankam,saGkam,saṅkam,s̪əŋkəm,movement,இயக்கம்,Law-and-Order,words
ꢱꢪ꣄ꢱ꣄ꢡꢵꢥ꣄,सम्स्तान्,ஸம்ஸ்தான்,samstaan,samstAn,samstān,s̪əms̪t̪ɑːn̪,movement,இயக்கம்,Law-and-Order,words
ꢒꢸꢭꢥꢵꢱ꣄,कुलनास्,குலநாஸ்,kulanaas,kulanAs,kulanās,kulən̪ɑːs̪,genocide,இனப்படுகொலை,Law-and-Order,words
ꢆꢗ꣄ꢗ ꢥ꣄ꢫꢵꢫꢵꢭꢫꣁ,उच्च न्यायालया॑,உச்ச ந்யாயாலயொ,uchcha nyaayaalayo',ucca nyAyAlayO,ucca nyāyālayŏ,ut͡ʃt͡ʃə n̪jɑːjɑːləjo,Supreme Court,உச்சநீதிமன்றம்,Law-and-Order,words
ꢆꢦꢮꢵꢱ꣄,उपवास,உபவாஸ்,upavaas,upavAs,upavās,upəʋɑːs̪,hunger strike,உண்ணாவிரதம்,Law-and-Order,words
ꢆꢡ꣄ꢡꢵ,उत्तर्,உத்தா,uttaa,uttA,uttā,ut̪t̪ɑː,,,Law-and-Order,words
ꢆꢛ꣄ꢗꢵ ꢥ꣄ꢫꢵꢫꢵꢭꢫꣁ,उञ्चा न्यायालया॑,உஞ்சா ந்யாயாலயொ,unchaa nyaayaalayo',uJcA nyAyAlayO,uñcā nyāyālayŏ,uɲt͡ʃɑː n̪jɑːjɑːləjo,High Court,உயர்நீதிமன்றம்,Law-and-Order,words
ꢄꢗ꣄ꢗꢵ ꢦꢡ꣄ꢬꢸ,इच्चा पत्रु,இச்சா பத்ரு,ichchaa patru,iccA patru,iccā patru,ɪt͡ʃt͡ʃɑː pət̪ɾu,will,உயில்,Law-and-Order,words
ꢂꢥꢸꢪꢡꢶꢨꢶꢭ꣄ꢭꣁ,अनुमतिबिल्ला॑,அனுமதி பி3ல்லொ,anumatibillo',anumatibillO,anumatibillŏ,ən̪umət̪ɪbɪllo,licence,உரிமம்,Law-and-Order,words
ꢨꢵꢣ꣄ꢫꢡꣁ,बाद्यता॑,பா3த்3யதொ,baadyato',bAdyatO,bādyatŏ,bɑːd̪jət̪o,licence,உரிமம்,Law-and-Order,words
ꢨꢵꢣ꣄ꢫꢡꣁ,बाद्यता॑,பா3த்3யதொ,baadyato',bAdyatO,bādyatŏ,bɑːd̪jət̪o,right,உரிமை,Law-and-Order,words
ꢂꢤꢶꢒꢵꢬ꣄,अधिकार,அதி4கார்,adhikaar,adhikAr,adhikār,əd̪ʰɪkɑːɾ,right,உரிமை,Law-and-Order,words
ꢗꢵꢬꢠꣁ,चारणा॑,சாரணொ,chaarano',cAraNO,cāraṇŏ,t͡ʃɑːɾəɳo,spy,உளவாளி/ ஒற்றன்,Law-and-Order,words
ꢕꢹꢜꢗꢵꢬꢶ,घूटचारि,கூ4டசாரி,ghoot'achaari,ghUTacAri,ghūṭacāri,gʰuːʈət͡ʃɑːɾɪ,spy,உளவாளி/ ஒற்றன்,Law-and-Order,words
ꢒꢬ꣄ꢡꢮ꣄,कर्तव,கர்தவ்,kartav,kartav,kartav,kəɾt̪əʋ,duty,கடமை,Law-and-Order,words
ꢒꢬ꣄ꢡꢮ꣄ꢫꣁ,कर्तव्या॑,கர்தவ்யொ,kartavyo',kartavyO,kartavyŏ,kəɾt̪əʋjo,duty,கடமை,Law-and-Order,words
ꢒꢵꢬꢵꢒꢵꢬ꣄,काराकार,காராகார்,kaaraakaar,kArAkAr,kārākār,kɑːɾɑːkɑːɾ,rigorous imprisonment,கடுஞ்சிறை,Law-and-Order,words
ꢒꢵꢬꢵꢕꢾꢬ꣄,काराघेर,காரா கே4ர்,kaaraaghe'r,kArAghEr,kārāghĕr,kɑːɾɑːgʰeɾ,rigorous imprisonment,கடுஞ்சிறை,Law-and-Order,words
ꢓꢾꢞꢶꢥꢸ ꢒꢵꢬꢵꢒꢵꢬ꣄,ख॑डिनु काराकार,கெ2டி3னு காராகார்,khe'd'inu kaaraakaar,khEDinu kArAkAr,khĕḍinu kārākār,kʰeɖɪn̪u kɑːɾɑːkɑːɾ,rigorous imprisonment,கடுஞ்சிறை,Law-and-Order,words
ꢕꢾꢥꢪ꣄,घ॑नम्,கெ4னம்,ghe'nam,ghEnam,ghĕnam,gʰen̪əm,dignity,கண்ணியம்,Law-and-Order,words
ꢣꣁꢳꢵꢪ꣄ ꢤꢹꢪ꣄,दा॑ळाम्धूम्,தொ3ளாதூ4ம்,do'l'aam dhoom,dOLAm dhUm,dŏl̤ām dhūm,d̪oɭɑːm d̪ʰuːm,tear gas,கண்ணீர்ப்புகை,Law-and-Order,words
ꢒꢮꢵꢜ꣄ ꢚꢔꢶꢥꢶ,कवाट झगिनि,கவாட் ஜ2கி3னி,kavaat' jhagini,kavAT jhagini,kavāṭ jhagini,kəʋɑːʈ d͡ʒʰəgɪn̪ɪ,lock out,கதவடைப்பு,Law-and-Order,words
ꢨꢥ꣄ꢣ꣄,बन्द,ப3ந்த்3,band,band,band,bən̪d̪,lock out,கதவடைப்பு,Law-and-Order,words
ꢬꣃꢳꢶ,रौळि,ரௌளி,raul'i,rauLi,raul̤i,ɾəuɭɪ,mutiny,கலகம்,Law-and-Order,words
ꢒꢭꢔꢪ꣄,कलगम्,கலக3ம்,kalagam,kalagam,kalagam,kələgəm,mutiny,கலகம்,Law-and-Order,words
ꢔꢭꢵꢜ꣄ꢜꢵ,कलाट्टा,க3லாட்டா,galaat't'aa,galATTA,galāṭṭā,gəlɑːʈʈɑː,disturbance,கலாட்டா,Law-and-Order,words
ꢔꢵꢪ꣄ ꢥꢶꢱꢨ꣄ꢣꢸ ꢱꢵꢱꢥꣁ,गाम् निसब्दु सासना॑,கா3ம்நிஸப்3து3ஸாஸனொ,gaam nisabdu saasano',gAm nisabdu sAsanO,gām nisabdu sāsanŏ,gɑːm n̪ɪs̪əbd̪u s̪ɑːs̪ən̪o,curfew,ஊரடங்குச் சட்டம்,Law-and-Order,words
ꢪꣁꢱꢒꢵꢬ꣄,मोसकार,மோஸகார்,mo'sakaar,mOsakAr,mŏsakār,mos̪əkɑːɾ,cheater,எத்தன்,Law-and-Order,words
ꢲꣁꢖ꣄ꢔꢞ꣄ꢠꢵꢬ꣄,हा॑ङ्गडणार,ஹொங்க3ட்3ணார்,ho'ngad'naar,hOGgaDNAr,hŏṅgaḍṇār,ɦoŋgəɖɳɑːɾ,cheater,எத்தன்,Law-and-Order,words
ꢮꢶꢦꢒ꣄ꢰꢸꢮꢵꢥ꣄,विपक्षुवान,விபக்ஷுவான்,vipakshuvaan,vipakSuvAn,vipakṣuvān,ʋɪpəkʂuʋɑːn̪,opposition cadre,எதிர்க்கட்சிக்காரன்,Law-and-Order,words
ꢡꣂꢒꢸꢦꢒ꣄ꢰꢸꢮꢵꢥ꣄,तोकुपक्षुवान,தோகு பக்ஷுவான்,tokupakshuvaan,tokupakSuvAn,tokupakṣuvān,t̪oːkupəkʂuʋɑːn̪,opposition cadre,எதிர்க்கட்சிக்காரன்,Law-and-Order,words
ꢭꢸꢒ꣄ꢙꢵꢥꢶ,लुक्जानि,லுக்ஜானி,lukjaani,lukjAni,lukjāni,lukd͡ʒɑːn̪ɪ,spy,ஒற்றன்,Law-and-Order,words
ꢗꢵꢬ꣄,चार्,சார்,chaar,cAr,cār,t͡ʃɑːɾ,spy,ஒற்றன்,Law-and-Order,words
ꢒꢜ꣄ꢗꢶꢒꢾꢬꣁ,कट्चिक॑रा॑,கட்சிகெரொ,kat'chike'ro',kaTcikErO,kaṭcikĕrŏ,kəʈt͡ʃɪkeɾo,client,கட்சிக்காரன்,Law-and-Order,words
ꢦꢒ꣄ꢯꢸꢮꢵꢥ꣄,पक्षुवान,பக்ஷுவான்,pakshuvaan,pakzuvAn,pakśuvān,pəkʃuʋɑːn̪,client,கட்சிக்காரன்,Law-and-Order,words
ꢗꢾꢡ꣄ꢡꢬ꣄,च॑त्तर्,செத்தர்,che'ttar,cEttar,cĕttar,t͡ʃet̪t̪əɾ,order,கட்டளை,Law-and-Order,words
ꢥꢿꢪꣁ,नेमा॑,நேமொ,nemo',nemO,nemŏ,n̪eːmo,discipline,கட்டுப்பாடு,Law-and-Order,words
ꢱ꣄ꣁꢞ꣄ꢞꢶ,चा॑ड्डि,சொட்3டி3,s_o'd'd'i,s_ODDi,s_ŏḍḍi,s̪_oɖɖɪ,thief,கள்ளி,Law-and-Order,words
ꢢꢠꢵ ꢱ꣄ꢢꢭ ꢬꢒ꣄ꢰꢶꢥꢶ,थणा स्थल रक्षिनि,த2ணா ஸ்த2ல ரக்ஷினி,thanaa sthala rakshini,thaNA sthala rakSini,thaṇā sthala rakṣini,t̪ʰəɳɑː s̪t̪ʰələ ɾəkʂɪn̪ɪ,police custody,காவல் நிலைய கண்காணிப்பு,Law-and-Order,words
ꢢꢠꢵ ꢬꢒ꣄ꢰꢶꢥꢶ,थणारक्षिनि,த2ணா ரக்ஷினி,thanaa rakshini,thaNA rakSini,thaṇā rakṣini,t̪ʰəɳɑː ɾəkʂɪn̪ɪ,police custody,காவல் நிலைய கண்காணிப்பு,Law-and-Order,words
ꢢꢠꢵ ꢮꢶꢩꢵꢔ꣄,थणा विभाग,த2ணா விபா4க்3,thanaa vibhaag,thaNA vibhAg,thaṇā vibhāg,t̪ʰəɳɑː ʋɪbʰɑːg,police department,காவல் துறை,Law-and-Order,words
ꢢꢠꢵ ꢱ꣄ꢢꢭ꣄,थणा स्थल्,த2ணா ஸ்த2ல்,thanaa sthal,thaNA sthal,thaṇā sthal,t̪ʰəɳɑː s̪t̪ʰəl,police station,காவல் நிலையம்,Law-and-Order,words
ꢒꢾꢭ꣄ꢭꢭ꣄,ख॑ल्लल्,கெ2ல்லல்,ke'llal,kEllal,kĕllal,kelləl,"mocking, teasing",கிண்டல்,Law-and-Order,words
ꢬꣃꢞꢶ,रौडि,ரௌடி3,raud'i,rauDi,rauḍi,ɾəuɖɪ,goonda,குண்டன்,Law-and-Order,words
ꢒꢸꢠ꣄ꢞꢸ,कुण्डु,கு3ண்டு3,kund'u,kuNDu,kuṇḍu,kuɳɖu,bomb,குண்டு,Law-and-Order,words
ꢕꣁꢞꢵ ꢱꣀꢥ꣄ꢫꢸ,घा॑डा सैन्यु,கொ4டா3ஸைன்யு,gho'd'aa sainyu,ghODA sainyu,ghŏḍā sainyu,gʰoɖɑː s̪əɪn̪ju,mounted police,குதிரைப்படை,Law-and-Order,words
ꢒꢸꢪ꣄ꢦꢸ,कुम्पु,கு3ம்பு,kumpu,kumpu,kumpu,kumpu,crowd,கும்பல்,Law-and-Order,words
ꢭꢸꢪ꣄ꢦ꣄ꢳꣁ,लुम्प्ळा॑,லும்ப்ளொ,lumpl'o',lumpLO,lumpl̤ŏ,lumpɭo,confusion,குழப்பம்,Law-and-Order,words
ꢂꢦꢬꢵꢤ꣄,अपराध,அபராத்4,aparaadh,aparAdh,aparādh,əpəɾɑːd̪ʰ,crime,குற்றம்,Law-and-Order,words
ꢂꢦꢬꢵꢕꢶ,अपराधि,அபராதி4,aparaaghi,aparAghi,aparāghi,əpəɾɑːgʰɪ,"culprit, the accused",குற்றவாளி,Law-and-Order,words
ꢂꢮ꣄ꢞꢵ ꢮꢶꢗꢵꢬꢠꣁ,अव्डा विचारणा॑,அவ்டா3 விசாரணொ,avd'aa vichaarano',avDA vicAraNO,avḍā vicāraṇŏ,əʋɖɑː ʋɪt͡ʃɑːɾəɳo,cross question,குறுக்கு விசாரணை,Law-and-Order,words
ꢒꣀꢣꢶ,कैदि,கைதி3,kaidi,kaidi,kaidi,kəɪd̪ɪ,prisoner,கைதி,Law-and-Order,words
ꢨꢥ꣄ꢣꢶ,बन्दि,ப3ந்தி3,bandi,bandi,bandi,bən̪d̪ɪ,prisoner,கைதி,Law-and-Order,words
ꢒꢵꢬꢵ ꢔꢸꢦ꣄ꢡꣁ,कारा गुप्ता॑,காராகு3ப்தொ,kaaraa gupto',kArA guptO,kārā guptŏ,kɑːɾɑː gupt̪o,prisoner,கைதி,Law-and-Order,words
ꢒꣀꢣꢸ,कैदु,கைது3,kaidu,kaidu,kaidu,kəɪd̪u,arrest,கைது,Law-and-Order,words
ꢨꢥ꣄ꢣꢶꢒꢾꢬ꣄ꢥꢶ,बन्दिक॑र्नि,ப3ந்தி3கெர்னி,bandike'rni,bandikErni,bandikĕrni,bən̪d̪ɪkeɾn̪ɪ,arrest,கைது,Law-and-Order,words
ꢒꢾꢭ꣄ꢭꢭ꣄ꢒꣁ,केल्लल्का॑,கெல்லல்கொ,ke'llalko',kEllalkO,kĕllalkŏ,kelləlko,"Mocking,trasing",கேலி,Law-and-Order,words
ꢪꣁꢬꢜꢱ꣄꣄ꢡꢾ,मा॑रटस्ते,மொரட3ஸ்தே,mo'rat'aste',mOraTastE,mŏraṭastĕ,moɾəʈəs̪t̪e,murder,கொலை,Law-and-Order,words
ꢪꣁꢬꢞ꣄ꢠꢵꢬ꣄,मा॑रड्णार,மொரட்3ணார்,mo'rad'naar,mOraDNAr,mŏraḍṇār,moɾəɖɳɑːɾ,murderer,கொலைகாரன்/ கொலையாளி,Law-and-Order,words
ꢲꢥ꣄ꢡꣁ,हन्ता॑,ஹந்தொ,hanto',hantO,hantŏ,ɦən̪t̪o,murderer,கொலைகாரன்/ கொலையாளி,Law-and-Order,words
ꢕꢵꢡꢶ,घाति,கா4தி,ghaati,ghAti,ghāti,gʰɑːt̪ɪ,murderer,கொலைகாரன்/ கொலையாளி,Law-and-Order,words
ꢒꢦꢜꢸ ꢓꢶꢛ꣄ꢗꢶꢥꢶ,कपटु खिञ्चिनि,கபடு கி2ஞ்சினி,kapat'u khinchini,kapaTu khiJcini,kapaṭu khiñcini,kəpəʈu kʰɪɲt͡ʃɪn̪ɪ,decoity,கொள்ளை,Law-and-Order,words
ꢒꢦꢜꢸ ꢓꢶꢛ꣄ꢗꢸꢥꢵꢬ꣄,कपटु खिञ्चुनार,கபடு கி2ஞ்சுனார்,kapat'u khinchunaar,kapaTu khiJcunAr,kapaṭu khiñcunār,kəpəʈu kʰɪɲt͡ʃun̪ɑːɾ,decoit,கொள்ளைக்காரன்,Law-and-Order,words
ꢒꢸꢪ꣄ꢦꢸ,कुम्पु,கு3ம்பு,kumpu,kumpu,kumpu,kumpu,group,கோஷ்டி,Law-and-Order,words
ꢱꢵꢱꢥ ꢱꢖ꣄ꢒꢳꢥꣁ,सासन सङ्कळ्ना॑,ஸாஸன ஸங்களனொ,saasana sankal'ano',sAsana saGkaLanO,sāsana saṅkal̤anŏ,s̪ɑːs̪ən̪ə s̪əŋkəɭən̪o,code,சட்டத்தொகுப்பு,Law-and-Order,words
ꢱꢵꢱꢥ ꢱꢖ꣄ꢒꢭꢥꣁ,सासन सङ्कलना॑,ஸாஸன ஸங்கலனொ,saasana sankalano',sAsana saGkalanO,sāsana saṅkalanŏ,s̪ɑːs̪ən̪ə s̪əŋkələn̪o,code,சட்டத்தொகுப்பு,Law-and-Order,words
ꢱꢵꢱꢥꣁ,सासना॑,ஸாஸனொ,saasano',sAsanO,sāsanŏ,s̪ɑːs̪ən̪o,law,சட்டம்,Law-and-Order,words
ꢩꣁꢔꢸꢪꢵ,भा॑गुमान,பொ4கு3மான்,bho'gumaa,bhOgumA,bhŏgumā,bʰogumɑː,prize,சன்மானம்,Law-and-Order,words
ꢱꢵꢒ꣄ꢰꢶ,साक्षि,ஸாக்ஷி,saakshi,sAkSi,sākṣi,s̪ɑːkʂɪ,witness,சாட்சி,Law-and-Order,words
ꢦꢒ꣄ꢰꢸ,पक्षु,பக்ஷு,pakshu,pakSu,pakṣu,pəkʂu,favour,சாதகம்,Law-and-Order,words
ꢱꢵꢣꢒꣁ,सादका॑,ஸாத3கொ,saadako',sAdakO,sādakŏ,s̪ɑːd̪əko,favour,சாதகம்,Law-and-Order,words
ꢱꢵꢭꢵ ꢮꢶꢤꢶꢥ꣄,साला विधिन,ஸாலா விதி4ன்,saalaa vidhin,sAlA vidhin,sālā vidhin,s̪ɑːlɑː ʋɪd̪ʰɪn̪,traffic rules,சாலை விதிகள்,Law-and-Order,words
ꢦꢶꢱ꣄ꢒꢭ꣄,पिस्कल,பிஸ்கல்,piskal,piskal,piskal,pɪs̪kəl,problem,சிக்கல்,Law-and-Order,words
ꢦꢸꢱ꣄ꢒꣁ,बुस्का॑,பு3ஸ்கொ,pusko',puskO,puskŏ,pus̪ko,problem,சிக்கல்,Law-and-Order,words
ꢗꢶꢡ꣄ꢬ ꢮꢤꣁ,चित्रवधो,சித்ரவதொ4,chitra vadho',citra vadhO,citra vadhŏ,t͡ʃɪt̪ɾə ʋəd̪ʰo,torture,சித்திரவதை,Law-and-Order,words
ꢒꢵꢬꢵꢕꢾꢬ꣄,काराघेर,காரா கே4ர்,kaaraaghe'r,kArAghEr,kārāghĕr,kɑːɾɑːgʰeɾ,"jail, prison",சிறை,Law-and-Order,words
ꢱꣂꢱꢥꣁ,सोसना॑,ஸோஸனொ,sosano',sosanO,sosanŏ,s̪oːs̪ən̪o,exploitation,சுரண்டல்,Law-and-Order,words
ꢒꢸꢥꢸꢔꢶꢥꢶ,कुनुगिनि,குநுகி3னி,kunugini,kunugini,kunugini,kun̪ugɪn̪ɪ,exploitation,சுரண்டல்,Law-and-Order,words
ꢮꢶꢭꢹꢝ꣄,विलूठ,விலூட்2,viloot'h,vilUTh,vilūṭh,ʋɪluːʈʰ,plunder,சூறையாடல்,Law-and-Order,words
ꢲꢥꢶꢪꢵꢬ꣄,हनिमार,ஹனிமார்,hanimaar,hanimAr,hanimār,ɦən̪ɪmɑːɾ,plunder,சூறையாடல்,Law-and-Order,words
ꢮꢶꢭꢸꢝꢥꣁ,विलुठना॑,விலுட2னொ,vilut'hano',viluThanO,viluṭhanŏ,ʋɪluʈʰən̪o,plunder,சூறையாடல்,Law-and-Order,words
ꢃꢱ꣄ꢡꢶ,आस्ति,ஆஸ்தி,aasti,Asti,āsti,ɑːs̪t̪ɪ,property,சொத்து,Law-and-Order,words
ꢱꣁꢡ꣄ꢡꢸ,सा॑त्तु,ஸொத்து,so'ttu,sOttu,sŏttu,s̪ot̪t̪u,property,சொத்து,Law-and-Order,words
ꢡꢾꢒꢸꢬꢵꢭ꣄,त॑कुराल्,தெகு3ரால்,te'kuraal,tEkurAl,tĕkurāl,t̪ekuɾɑːl,dispute,தகராறு,Law-and-Order,words
ꢢꢥꢵꢭ ꣄ꢭꣀꢞꢵ ꢲꢥ꣄ꢥꢶ,थणा ललैडा हन्नि,த2னால் லைடா3 ஹன்னி,thanaala laid'aa hanni,thanAla laiDA hanni,thanāla laiḍā hanni,t̪ʰən̪ɑːlə ləɪɖɑː ɦən̪n̪ɪ,lathi charge,தடியடி,Law-and-Order,words
ꢲꢶꢨ꣄ꢨꢵꢞꢸ ꢃꢙꢛꣁ,हिब्बाडु आजञो,ஹிப்3பா3டு3 ஆஜ்ஞொ,hibbaad'u aajanyo',hibbADu AjaJO,hibbāḍu ājañŏ,ɦɪbbɑːɖu ɑːd͡ʒəɲo,"prevention order, stay order",தடையுத்தரவு,Law-and-Order,words
ꢥꢶꢬꣂꢤ꣄ ꢃꢙ꣄ꢛꢸ,निरोध आजञो,நிரோத்4 ஆஜ்ஞொ,nirodh aajnyu,nirodh AjJu,nirodh ājñu,n̪ɪɾoːd̪ʰ ɑːd͡ʒɲu,"prevention order, stay order",தடையுத்தரவு,Law-and-Order,words
ꢣꢾꢠ꣄ꢞꢥꣁ,द॑ण्डना॑,தெ3ண்ட3னொ,de'nd'ano',dENDanO,dĕṇḍanŏ,d̪eɳɖən̪o,punish-ment,தண்டனை,Law-and-Order,words
ꢲꣂꢬ꣄,होर्,ஹோர்,hor,hor,hor,ɦoːɾ,side,தரப்பு,Law-and-Order,words
ꢱ꣄ꢮꢫ ꢬꢒ꣄ꢰꢠꣁ,स्वय रक्षणा॑,ஸ்வய ரக்ஷணொ,svaya rakshano',svaya rakSaNO,svaya rakṣaṇŏ,s̪ʋəjə ɾəkʂəɳo,self-defence,தற்காப்பு,Law-and-Order,words
ꢗꣁꢬ꣄,चो्र,சோர்,cho'r,cOr,cŏr,t͡ʃoɾ,theft,திருட்டு,Law-and-Order,words
ꢡꢷꢬ꣄ꢦꢸ,तीर्पु,தீர்பு,teerpu,tIrpu,tīrpu,t̪iːɾpu,judgement,தீர்ப்பு,Law-and-Order,words
ꢠꢶꢬ꣄ꢠꢫꣁ,निर्णया॑,நிர்ணயொ,nirnayo',NirNayO,ṇirṇayŏ,ɳɪɾɳəjo,judgement,தீர்ப்பு,Law-and-Order,words
ꢄꢔ꣄ꢬꢮꢵꢡꢶ,उग्रवाति,உக்3ரவாதி3,igravaati,igravAti,igravāti,ɪgɾəʋɑːt̪ɪ,extremist,தீவிரவாதி,Law-and-Order,words
ꢭꢸꢒ꣄ ꢙꢥ꣄ꢥꢬ꣄,लुक्जन्नर,லுக் ஜன்னார்,luk jannar,luk jannar,luk jannar,luk d͡ʒən̪n̪əɾ,detective,துப்பறிபவர்,Law-and-Order,words
ꢱꢹꢗꢥꣁ,सूचना॑,ஸூசனொ,soochano',sUcanO,sūcanŏ,s̪uːt͡ʃən̪o,clue,துப்பு,Law-and-Order,words
ꢜꢸꢦ꣄ꢦꢸ,तुप्पु,துப்பு,t'uppu,Tuppu,ṭuppu,ʈuppu,clue,துப்பு,Law-and-Order,words
ꢣꣂꢬꢸ ꢣꢠ꣄ꢞꢵꢥꣁ,दोरु दण्डना॑,தோ3ரு த3ண்ட3னொ,doru dand'aano',doru daNDAnO,doru daṇḍānŏ,d̪oːɾu d̪əɳɖɑːn̪o,hanging punishment,தூக்குத்தண்டனை,Law-and-Order,words
ꢲꣁꢬꢸꢒ꣄ꢬꢶꢫꣁ,होरुक्रिया॑,ஹோரு க்ரியொ,ho'rukriyo',hOrukriyO,hŏrukriyŏ,ɦoɾukɾɪjo,action,நடவடிக்கை,Law-and-Order,words
ꢱꢹꢗꢵꢭ꣄,सूचाल,ஸுசால்,soochaal,sUcAl,sūcāl,s̪uːt͡ʃɑːl,good conduct,நன்னடத்தை,Law-and-Order,words
ꢗꣁꢒ꣄ ꢗꢭ꣄ꢥꢶ,चा॑क चल्नि,சொக் சல்னி,cho'k chalni,cOk calni,cŏk calni,t͡ʃok t͡ʃəln̪ɪ,good conduct,நன்னடத்தை,Law-and-Order,words
ꢱꢡ꣄ ꢗꢭ꣄ꢥꢶ,सत चल्नि,ஸத் சல்னி,sat chalni,sat calni,sat calni,s̪ət̪ t͡ʃəln̪ɪ,good conduct,நன்னடத்தை,Law-and-Order,words
ꢥꢶꢫꢵꢮ꣄,नियाव्,நியாவ்,niyaav,niyAv,niyāv,n̪ɪjɑːʋ,justice,நீதி,Law-and-Order,words
ꢥꢶꢫꢵꢫꢱ꣄ꢢꢭꣁ,नियायस्थला॑,நியாயஸ்த2லொ,niyaayasthalo',niyAyasthalO,niyāyasthalŏ,n̪ɪjɑːjəs̪t̪ʰəlo,court,நீதிமன்றம்,Law-and-Order,words
ꢮꢶꢬꣂꢣ,विरोद,விரோத்4,viroda,viroda,viroda,ʋɪɾoːd̪ə,enmity,பகை,Law-and-Order,words
ꢩꣁꢔꢸꢪꢵꢥ꣄,भा॑गुमान,பொ4கு3மான்,bho'gumaan,bhOgumAn,bhŏgumān,bʰogumɑːn̪,prize,பரிசு,Law-and-Order,words
ꢦ꣄ꢬꢡꢶꢒꢹꢭ꣄,प्रतिकूल,ப்ரதிகூல்,pratikool,pratikUl,pratikūl,pɾət̪ɪkuːl,adverse effect,பாதகம்,Law-and-Order,words
ꢬꢒ꣄ꢯꢥꣁ,रक्षणा॑,ரக்ஷணொ,rakshano',rakzanO,rakśanŏ,ɾəkʃən̪o,"protection, defence",பாதுகாப்பு,Law-and-Order,words
ꢦꢶꢬꢡꢶꢮꢵꢣꢶ,पिरतिवादि,பிரதிவாதி3,pirativaadi,pirativAdi,pirativādi,pɪɾət̪ɪʋɑːd̪ɪ,defendent,பிரதிவாதி,Law-and-Order,words
ꢱꢡ꣄ꢫꢦ꣄ꢬꢪꢵꢠ꣄,सत्य प्रमाण्,ஸத்ய ப்ரமாண்,satyapramaan,satyapramAN,satyapramāṇ,s̪ət̪jəpɾəmɑːɳ,oath,பிரமாணம்,Law-and-Order,words
ꢦꢶꢬꢪꢵꢠ꣄,पिरमाण्,பிரமாண்,piramaan,piramAN,piramāṇ,pɪɾəmɑːɳ,oath,பிரமாணம்,Law-and-Order,words
ꢒꢸꢠ꣄ꢜꢸ,कुण्टु,குண்டு,kunt'u,kuNTu,kuṇṭu,kuɳʈu,error,பிழை,Law-and-Order,words
ꢒꢭꢲ ꢱ꣄ꢢꢶꢡꢶ,कलह स्थिति,கலஹ ஸ்தி2தி,kalaha sthiti,kalaha sthiti,kalaha sthiti,kələɦə s̪t̪ʰɪt̪ɪ,"agitation, struggle",போராட்டம்,Law-and-Order,words
ꢥꢒꢭ꣄,नकल,நகல்,nakal,nakal,nakal,n̪əkəl,duplicate,போலி,Law-and-Order,words
ꢪꣁꢬꢥꢸ ꢣꢠ꣄ꢞꢠꣁ,मा॑रनु दण्डणो,மொரனு த3ண்ட3ணொ,mo'ranu dand'ano',mOranu daNDaNO,mŏranu daṇḍaṇŏ,moɾən̪u d̪əɳɖəɳo,death sentence,மரணதண்டனை,Law-and-Order,words
ꢦꣀꢭ ꢏꢫ꣄ꢣꢦꢥ꣄,फैल आ॑य्दपन,பை2ல ஒய்த3பன்,paila o'ydapan,paila Oydapan,paila ŏydapan,pəɪlə ojd̪əpən̪,first aid,முதலுதவி,Law-and-Order,words
ꢪꣁꢬꢜꢸ,मा॑रटु,மொரடு3,mo'rat'u,mOraTu,mŏraṭu,moɾəʈu,rowdy,முரடன்,Law-and-Order,words
ꢤꢶꢒ꣄ꢒꢶꢥꢶ,धिक्किनि,தி4க்கினி,dhikkini,dhikkini,dhikkini,d̪ʰɪkkɪn̪ɪ,clash,மோதல்,Law-and-Order,words
ꢮꢵꢣꢸꢒꢾꢬ꣄ꢥꢵꢬ꣄,वादु क॑र्नार,வாது3 கெர்னார்,vaaduke'rnaar,vAdukErnAr,vādukĕrnār,ʋɑːd̪ukeɾn̪ɑːɾ,advocate,வக்கீல் /வழக்குரைஞர்,Law-and-Order,words
ꢮꢵꢣꢸꢥꢵꢬ꣄,वादुनार,வாது3னார்,vaadunaar,vAdunAr,vādunār,ʋɑːd̪un̪ɑːɾ,advocate,வக்கீல் /வழக்குரைஞர்,Law-and-Order,words
ꢣꢵꢮꣁ,दावा॑,தா3வொ,daavo',dAvO,dāvŏ,d̪ɑːʋo,case,வழக்கு,Law-and-Order,words
