example_sentence_sourashtra,example_sentence_english,example_sentence_tamil
கேளு ஜா2டு3 அஸ்கி பொ4ணமு உபயோக்3 ஹோஸு,All parts of the banana tree are used,வாழை மரத்தின் அனைத்து பாகங்களும் பயன்படுகின்றன
வரொ பொ3லோம்கன் ஹனெதி3 ஸெவ்கா ஜா2ட்3 முட்டி பொள்ட3யி,The drumstick tree breaks when the wind blows hard,காற்று பலமாக வீசும்போது முருங்கை மரம் முறிந்து விடும்
ஜு2கு3 தௌ4ரானும் ஸொமி ஜா2டு3 ஸ்த2ல வ்ருக்ஷம்கன் ஸெ,The Jammi is the tree of worship in many temples,பல ஆலயங்களில் ஸ்தல விருட்சமாக வன்னி மரம் இருக்கிறது
கானு ஜா2டு3 நௌகொ ப4ந்த3த்தக் நுக3ஸு,Beautyleaf tree is used to build the boat,புன்னை மரம் படகு கட்ட பயன்படும்
பீ3லு ஜா2ட்3 ஜு2க்குகன் ஈஸ்புரு தௌ4ராம் ராஸு,The Bael tree is mostly found in Eeswaran temples,வில்வமரம் பெரும்பாலும் ஈஸ்வரன் கோயில்களில் உள்ளது
பு4லோகுர் 65% ஸிர்க்கணு ஜா2டு3னு பா4ரதும் பிக்கஸு,65% of the world's sandalwood is grown in India,உலகில் 65% சந்தன மரங்கள் இந்தியாவில் விளைகின்றன
வேணு கொ3வது வம்ஶமு செரெ ஒண்டெ ஜா2டு3,Bamboo is a tree belonging to the genus Grass,மூங்கில் புல் வகையைச் சேர்ந்த ஒரு மரம் ஆகும்
தாடி3 ஜா2டு3 மொள்கொ ஸொடி3 வீஸ் ஒர்ஸுனு ப2ராதூஸ் போ2ள் தே3யி,The palm tree bears fruit twenty years after germination,பனைமரம் முளை விட்ட பிறகு இருபது வருடங்கள் கழித்து பலன் தரும்
தாளு ஜா2டு3 30 - 40 பவுல் உஞ்சொ ஹொட3யி,The palm tree grows to a height of 30 - 40 feet,பனைமரம் 30 - 40 அடி உயரம் வளரும்
துஞ்ஜு ரமாரமி 120 ஒர்ஸுன் லெங்கு ஜிவயி,The palm tree can live up to 120 years on average,பனைமரம் சராசரியாக 120 வருடங்கள் வரை வாழும்
க2ஸ்லா ஜா2டு3ன் வளுராணும் ஹொட3த்திஸானுகெ,Date palm trees can grow in deserts,பேரீச்சை மரங்கள் பாலைவனங்களில் வளரக்கூடியவை
க2ஸுளு சொக்கட் லாப் தே3த்திஸானுகெ,Date palm trees are very profitable,பேரீச்சை மரங்கள் நல்ல லாபம் தரக்கூடியவை
ஸ்ரீ தாளு ஜா2டு3ம் கய்லொ லய்னா,The male date palm does not bear fruit,ஆண் பனைமரத்தில் காய் காய்க்காது
ஹிந்தாளு ஜா2டு3 ஜித்ரவும் ஒண்ட்டே ஒண்ட்டாலுஸ் பு2லயி,Talipot palm blooms only once in a lifetime,கூந்தப்பனை வாழ்நாளில் ஒரே ஒருமுறைதான் பூக்கும்
பு4ஸ்லா ஜா2டு3 பெச்சம் பொள்ளொ களொ ர்ஹாயி,The fruit of the mountain date palm tree is black,சிறு ஈச்ச மரத்து பேரீச்சம் பழம் கருப்பாக இருக்கும்
ஹப்பளு ஜா2ட்3 தொ3ங்க3ரும் க4லத்திஸா பீகு ஹோஸு,Arecanut tree is a hill garden crop,பாக்கு மரம் ஒரு மலைத்தோட்டப் பயிர் ஆகும்
ஹுப்பளு ஜா2டு3 பொஞ்சிஸ் ஒர்ஸுனுக் போ2ள் தே3யி,Arecanut tree will bear fruit for twenty-five years,பாக்கு மரம் இருபத்தைந்து வருடங்களுக்கு பலன் தரும்
ஜுங்கெ ஜா2டு3 நரள் ம்ஹத்3தி3 தரொகன் ர்ஹாயி,The coconut of the aged tree is medium,முதிர்ந்த மரத்தின் தேங்காய் நடுத்தரமாக இருக்கும்
ஹீடு3 ஜியே ஜா2டு3 கொக்கிக் பிர்ஜனம் பொட்3னா,The dried up tree is useful for nothing,பட்டுப்போன மரம் எதற்கும் பயன்படாது
ஜெல்மின் ஒண்டெ ஹவ்லொஹொயெ வஸ்து,Aluminum is a lighter material,அலுமினியம் ஒரு இலகுவான பொருள்
ஹிரான் வேன்மோலுயொ,Diamonds are precious,வைரங்கள் விலைமதிப்பற்றவை
லோவுனுக் ஜு2கு ப்ரகார்கன் வடொ கெருவாயி,Metals can be divided into several types,உலோகங்களை பல வகைகளாகப் பிரிக்கலாம்
தா4துன் நொவ்வொகெரத்தக் முஸுனா ஸம்பத்துன்,Minerals are non renewable resources,கனிமங்கள் புதுப்பிக்க முடியாத வளங்கள்
ஸொர்ணு மோலு ஸதா3 ஹிங்கி3லேத் ர்ஹாயி,The price of gold will always be rising,தங்கத்தின் விலை எப்போதும் உயர்ந்து கொண்டே இருக்கும்
ஹிரண்யாக் கொ2ப்3பி3ம் மோல் ர்ஹாயி,The price of gold will always be rising,தங்கத்திற்கு எப்போதும் மதிப்பு உண்டு
கெஸார் காஞ்சனாக் கெ3ஸிகின் மோல் தவஸுன்,The goldsmith assays gold by rubbing,பொற்கொல்லர் தங்கத்தை தேய்த்து மதிப்பிடுகிறார்
அப்புரஞ்ஜி வேன் ம்ருது3 ஹொயெயொ,Pure gold is very soft,தூய தங்கம் மிகவும் மென்மையானது
ஹிரன் ஸெரொ தம்பெ3 செர்ச்சி ஸொம்முன் கெரனு,Pure gold is mixed with copper to make jewelry,தூய தங்கம் செம்பு கலந்து நகைகள் செய்வார்கள்
லெச்சேக் ருப்பாம் கெரனு,The talisman will be made of silver,தாயத்தை வெள்ளியில் செய்வார்கள்
கெஸ்துல் லேஸும் சிலும் தெ4ர்னா,Bronze does not rust easily,வெண்கலம் எளிதில் துருப்பிடிக்காது
கஸ்தீல் தம்பெ3கின் தெகரம் ஹால் ஹொயெயொ,The bronze is made of copper and tin,வெண்கலம் செம்பு மற்றும் தகரத்தால் ஆனது
கஸெ பொ4ன்னாம் பொங்க3ல் கெரனு,Pongal is cooked in a bronze pot,வெண்கலப் பாத்திரத்தில் பொங்கல் செய்வார்கள்
புஜா வஸ்துனுன் ஜுக்குகன் லீதும் கெரெயொ,Pooja objects are mostly made of brass,பூஜை பொருட்கள் பெரும்பாலும் பித்தளையால் செய்யப்பட்டவை
தம்பெ3 செர்ச்சுனாத்தக் ஸொம்முன் கெரானா,Jewelry cannot be made without the addition of copper,செம்பு சேர்க்காமல் நகைகள் செய்ய முடியாது
கொ4ம்மானும் ப்ரயோக்3 கெரரியொ விஜிலி தாரு தம்பு3ரம் ஹால் ஹொயெயொ,Electrical wires used in homes are made of copper,வீடுகளில் பயன்படுத்தப்படும் மின் கம்பிகள் தாமிரத்தால் செய்யப்பட்டவை
ஜெல்மின் தெட்டொ வேன் ஹவ்லொ ர்ஹாய்,Aluminum plates are much lighter,அலுமினிய தட்டுகள் மிகவும் இலகுவானவை
தௌவுக் லுங்க்டொ3 ஹால் செக்கத்தக் முஸயி,The tin can be cut with scissors,தகரத்தை கத்தரிக்கோலால் வெட்ட முடியும்
ஜெல்மின்கின் பொட்டொ ல்ஹொகண்-ந்ஹாத்த லோவுனு,Aluminum and tin are non-ferrous metals,அலுமினியம் மற்றும் தகரம் இரும்பு அல்லாத உலோகங்கள்
பொள்டொ தக3த்தக் தெகரம் பிர்ஜனம்கன் ர்ஹாயி,Tin is useful in roofing,கூரை வேய தகரம் பயனுள்ளதாக இருக்கும்
புல்னொ ப4ந்த3த்தக் தெக3ட் ஜு2க்கு வவ்ரஸுனு,Metal plates are used a lot to build bridges,பாலம் கட்ட தகடை அதிகம் பயன்படுத்துகிறார்கள்
ல்ஹொகண் கெ4ட்டி ர்ஹியெத் மெல்லி பு2ட்டத்திஸானுகெ,Iron is brittle though hard,இரும்பு கடினமாக இருந்தாலும் உடையக்கூடியது
ஸில்லொ வராம் ப4ராட் தொ2வெத் லோவுனும் சிலும் தெ4ரயி,Rust will appear on the metal if left outside in wet air,ஈரமான காற்றில் வெளியே விட்டால் உலோகத்தில் துரு தோன்றும்
ஹந்த3வ் தௌரம் எத்னமுனுக் கெரத்தக் குந்த்3ரொ நுக3ஸு,Porcelain is used to make kitchen utensils,சமையலறை பாத்திரங்கள் தயாரிக்க பீங்கான் பயன்படுகிறது
ஹபாளுக் மத்திம் ர்ஹீ கெரராஸ்,Glass is made from sand,கண்ணாடியை மணலில் இருந்து தயாரிக்கிறார்கள்
முக்ராக் வனி மர்ச்சத்தக் தா4துன் செர்ச்சஸுன்,Minerals are added to change the color of the glass,கண்ணாடியின் நிறத்தை மாற்ற கனிமங்கள் சேர்க்கிறார்கள்
ஸிஷொ 100% பி2ரி ப்ரயோக்3 கெரத்திஸானுகெ,Glass bottles are 100% recyclable,கண்ணாடி குப்பிகள் 100% மறுசுழற்சி செய்யக்கூடியவை
கு3த்திம் அம்ப3ட் ஸொடி3 தொ2வாய்,The acid can be stored in glass bottles,கண்ணாடி பாட்டில்களில் அமிலத்தை ஊற்றி வைக்கலாம்
சீனுன் 2100 ஒர்ஸுனுன் முது3ல்லொ கள்ஜமுக் தெ3க்கி தெ4ராஸி,The Chinese invented paper 2100 years ago,சீனர்கள் 2100 ஆண்டுகளுக்கு முன்பு காகிதத்தைக் கண்டுபிடித்தனர்
சிலும் ஜாத்தக் மீடு கள்ஜம் ப்ரயோக்3 பொட3ஸு,Sandpaper is used to remove the rust,துருவை அகற்ற உப்புக்காகிதம் பயன்படுகிறது
பிஸ்னி வஸ்துன் பூ4ய்ஞ் ஸுபீகுக் நஸஸு,Plastic materials spoil the fertility of the earth,நெகிழி பொருட்கள் பூமியின் வளத்தை கெடுக்கின்றன
பொ3ங்கு3 தாகும் ர்ஹீ பொ3ட்டொ கெரத்தக் முஸையி,The dress can be made from bamboo fiber,மூங்கில் நாரிலிருந்து உடை தயாரிக்க முடியும்
வள்டிம் ர்ஹீ முரளி கெருவாயி,Bamboo flutes can be made from bamboo stems,மூங்கில் கோவியிலிருந்து புல்லாங்குழல் செய்யலாம்
வாடி3 ப4ந்த3த்தக் பொ3ங்கு3பொட்டொ நுக3ஸு,Split bamboo sticks are used to build fences,வேலி கட்ட மூங்கில் குச்சிகள் பயன்படுகின்றன
பெ3த்தெம் லைடா3க் அய்து3கன் ப்ரயோக்3 கெருவாயி,A baton may be used as a weapon,உருட்டுகட்டையை ஆயுதமாக பயன்படுத்தப்படலாம்
தேகு ஜா2டு3 ஸொம்மர் கு2டா பொல்கா வஸ்துன் வேன் ஸொங்கொ3யொ,Plywood furnitures are much cheaper than teak,தேக்கை விட ஆலங்குப் பலகை மரச்சாமான்கள் மிகவும் மலிவானவை
பு4ய்ஞ் ஒண்டெ ம்ஹொட்டொ காந்தொகன் காம் கெரஸு,The earth acts as a giant magnet,பூமி ஒரு மாபெரும் காந்தமாக செயல்படுகிறது
பொ3ண்ால் தயார் கெரத்தக் கெ4ந்த்யாவ் நுக3ஸு,Sulfur is used to make crackers,பட்டாசு தயாரிக்க கந்தகம் பயன்படுகிறது
ஹிரான் நிஸ்தொ கொ2ள்க்யா பு4ர்க்கொஹால் ஹொயெயொ,Diamonds are made of only carbon,வைரங்கள் கரிபொருளால் மட்டுமே ஆனவை
ஶிலா க2ட்டி கெரத்தக் ஶிலா க2ட்டி பு4ர்கொ ஒர்க3ஸு,Graphite is used to make pencils,பென்சில் தயாரிக்க கிராஃபைட் பயன்படுகிறது
ஸிம்ஹாக் ராக் அவெத் ருக3யி,The lion will roar when it gets angry,சிங்கத்திற்கு கோபம் வந்தால் கர்ஜிக்கும்
களானாத்தெங்கொ3 ஸியெத் ஸுனொ உஸ்கஸு,The dog barks at the strangers,அந்நியர்களைப் பார்த்து நாய் குரைக்கிறது
மஞ்ஜிரி ஹுடெ3த்திக்காம் மியாவ் கெரி மெவ்கஸு,The cat meows when it wakes up,பூனை எழுந்தவுடன் மியாவ் என்று கத்துகிறது
ப2ல்திவாரும் குடொ3 குகஸு,The rooster crows at dawn,விடியற்காலையில் சேவல் கூவும்
பெ4ண்டு3 பூ4க் கெரத் மெமஸு,The goat bleats when it is hungry,ஆடு பசித்தால் கத்துகிறது
பெ4ய்ஸு பொ4மினி கொ4ர்கு3ல் ஸெத்3து3 ஸொகன் ஸே,The buffalo bellows are like snoring sound,எருமை எக்காளம் குறட்டை சத்தம் போல் உள்ளது
து3தூ3ர் கொ4டொ3 ஹெஷரியொ ஸெத்3து3 அய்கயஸ்,"In the distance, the horse neighing sound was heard",தூரத்தில் குதிரை கனைக்கும் சத்தம் கேட்டது
கெ4த3ட் ர்ஹியெவாகுர் கெ4ங்க3ஸி,The donkey suddenly brayed,கழுதை திடீரென்று கத்தியது
உகொ அப்லானும் வதி3னி கெர்லத்தக் க3ரஸு,Wolf yells to communicate among themselves,ஓநாய் தங்களுக்குள் தொடர்பு கொள்ள ஊளையிடுறுகிறது
கொ2லொ ராதும் ஹுகஸு,The fox howls at night,நரி இரவில் ஊளையிடும்
து3க்கர் தெல்லெ ஸேத்தெ தா2ம் து3ஸுரெதெங்கொ3 களட3த்தக் க2னஸு,The pig grunts to let others know where they are,பன்றி தான் இருக்கும் இடத்தை மற்றவர்களுக்கு தெரியப்படுத்த உறுமும்
உத்ஸாஹ்கன் ர்ஹாத்தவேள் கீஸுன் (கோதின்) சிங்க3ஸு,Monkies squeak when excited,உற்சாகமாக இருக்கும்போது குரங்குகள் அலப்பும்
சிடி3ன்கின் ஹுந்தி3ருன் கிலுபி3லயி,Sparrows and Rats squeak,சிட்டுக்குருவிகள் மற்றும் எலிகள் கீச்சிடும்
குடி3 4 ர்ஹீ 6 பகு3ல் லெந்து ஹுபஸு,The hens can jump 4 to 6 feet,கோழி 4 முதல் 6 அடி வரை குதிக்கும்
கொ3ருன் அப்லானும் கொஸுலஸு,Cows gore among themselves,பசுக்கள் தங்களுக்குள் முட்டிக் கொள்கின்றன
ஸிம்ஹொ அபுல் சொராக் கு2ண்டி தெ4ரஸு,The lion grasps its prey,சிங்கம் அதன் இரையை கவ்விப் பிடிக்கிறது
பில்லல்னு வீது3ம் க2ளராஸ்,Children play in the street,குழந்தைகள் தெருவில் விளையாடுகிறார்கள்
ஒய்து3 கே4ர் வீது3 முக்கும் ஸேத்தெ,Dr. House is at the street corner,டாக்டர் வீடு தெரு முனையில் உள்ளது
அவ்ரெ கே4ர் வேன் அக்ரொ ஸெந்து3ம் ஸேத்தெ,Our house is in a very narrow alley,எங்கள் வீடு மிகவும் குறுகிய சந்தில் உள்ளது
அவ்ரெ கே4ர் தீ2ன்வா அவ்டா3 ஸெந்து3ம் ஸேத்தெ,Our house is in the third cross street,எங்கள் வீடு மூன்றாம் குறுக்குத் தெருவில் உள்ளது
துரெ கே4ரு விலாஸ் மொகொ3 விஜிலியணு லேகு2ம் த4ட்3டு3வொ,Send me your house address in Email,உங்கள் வீட்டு முகவரியை எனக்கு மின்னஞ்சலில் அனுப்பவும்
எல்லெ மொரெ பெ4ய்னு கே4ர்,This is my sister's house,இது என் சகோதரியின் வீடு
கெ4ராவர்துனுக் ப4ராடு3ம் வத்தொகெர ஹோனா,Household things should not be talked about outside,வீட்டு விஷயங்களை வெளியில் பேசக்கூடாது
மூலஸ்தானொ பொ3லம்கன் ந்ஹீஜியெத் கே4ர் பு2ட்டிபொள்ட3யி,"If the foundation is not strong, the house will collapse","அடித்தளம் வலுவாக இல்லாவிட்டால், வீடு இடிந்து விழும்"
மொரெ போ3 எல்லெ கே4ருக் அடு3த3ளொ தயாஸி,My father laid the foundation for this house,என் தந்தை இந்த வீட்டிற்கு கடைக்கால் போட்டார்
பொ3ண்டி ஹிப்3பி3 ர்ஹவட3த்தக் அடு3கே4ர் ஒர்க3ஸு,Basement is used to park the car,காரை நிறுத்துவதற்கு அடித்தளம் பயன்படுகிறது
மொரெ ஸொஸுராக் சொக்கட் கே4ர்தா3ருன் ஸே,My father-in-law owns good house property,என் மாமனாருக்கு நல்ல வீடுவாசல் உள்ளது
ப4வனம்னுக் பொ2ட3த்தக் பு3ல்டோ3ஸர் உபயோக்3 ஹோஸு,Bulldozer is used to demolish buildings,கட்டிடங்களை இடிக்க புல்டோசர் பயன்படுகிறது
பொர்க்யாடு3ம் வித்3தெ3னு கே4ருனுக் ஸவானா,We can not see apartments in villages,கிராமங்களில் அடுக்குமாடி கட்டிடங்களை பார்க்க முடியாது
ஸெந்தொவஸஸும் ஜிவத்தெனு வேன் பொ4த்3ரம்கன் ஸே,Colony dwellers are more secure,குடியிருப்பில் வசிப்பவர்கள் அதிக பாதுகாப்பாக இருக்கிறார்கள்
கௌ2னஸ்கி ஹொஸ்தொகி அபுல்கே4ருஸ் மேட்,"East or West, home is best",கிழக்காயினும் மேற்காயினும் சொந்தவீடு தான் சிறந்தது
தெங்கொ3 கொ4ம்மொ ஸுனான் ஸே,They have dogs in the house,அவர்கள் வீட்டில் நாய்கள் உள்ளன
அவ்ரெ ஸெஜ்ஜென் ஜு2க்கு மித்ருப்பன் ஸெரொ ஸே,Our neighbours are very friendly,எங்கள் பக்கத்து வீட்டுக்காரர்கள் மிகவும் நட்பாக இருக்கிறார்கள்
கே4ரு கே4ரு தா3ர்,Every house has a door step,வீட்டுக்கு வீடு வாசல்படி
தெனு த4டாம் ஹிப்3பி3லி மீ பி4த்தர் அவாய்யா மெனி புஸ்யாஸ்,He stood in the doorway and asked if I could come in,அவர் வாசலில் நின்று நான் உள்ளே வரலாமா என்று கேட்டார்
அவ்ரெ கே4ரு ஹும்ப்3ரொ தேகு ஜா2டு3 ஹால் ஹொயெயொ,The threshold of our house was made of teak wood,எங்கள் வீட்டின் வாசல் தேக்கு மரத்தால் ஆனது
தா3ருகவாட்3 பூட் தகெ3ஸ்யா?,Did you lock the gate?,வாசல் கதவை பூட்டினாயா?
ஸொளொபா2ரும் ஸொடு3முஞ்ஜொ கெரத்தெ அவ்ரெ வட்கெ,It is our custom to sweep the front yard in the morning,காலையில் வாசல் பெருக்குதல் நமது வழக்கம்
பெ3ய்லன் முக்3கு3 தக3த்தெமாம் வேன் உத்ஸாஹ் தெ3க்கட3ன்,Women will be more interested in putting kolam,பெண்கள் கோலம் போடுவதில் அதிக ஆர்வம் காட்டுவார்கள்
ஒள்டு3ன் ஹொள்டர் பி3ஸி தி3ன்னு ஜவட3ராஸ்,The elderly spend time sitting on the veranda,முதியவர்கள் திண்ணையில் அமர்ந்து பொழுது கழிக்கிறார்கள்
ஹொல்லொஹொள்டொ கே4ரு அத்தொ து3ஸ்தலு,House with upper porch are rare these days,மேல் தாழ்வாரத்துடன் கூடிய வீடு இன்று அரிது
விஸந்து3லொ த3ம்புரொ பி3ஸ ஹோனா மெனன்,They say not to sit in the doorway at dusk,அந்தி சாயும் நேரத்தில் வீட்டு வாசலில் உட்காரக் கூடாது என்பார்கள்
த3ரும்பு3ரொ ஹிப்3பி3ர்ஹீ தெ4ரும் கெரஹோனா,Do not stand in the doorway and donate,வீட்டு வாசலில் நின்று அன்னதானம் செய்யக்கூடாது
த4னின் தேகு ஜா2டு3ஹால் நெலுக் கெரஸுன்,The rich make threshold doors out of teak wood,பணக்காரர்கள் தேக்கு மரத்தால் நிலைக்கதவுகளை செய்கிறார்கள்
தா3ருமிட்டொ தொக்குனொகொ3 மெனி தெங்கொ3 போ3 மென்யாஸ்,His father told him not to step on the doorstep,வாசல்படி மிதிக்காதே என்று அவனுடைய அப்பா சொன்னார்
தா3ருக்கின் கொ2ட்டா ம்ஹத்3தி3ம் ஸேத்தெ அக்ரொ வாடுக் பா2வு மெனன்,The narrow passage between the entrance and the living room is called phaavu,நுழைவாயிலுக்கும் அறைக்கும் இடையில் குறுகிய பாதையை ரேழி என்பார்கள்
அக்ரொபா2வும் தீ3 செக்குர் பொ3ண்டி3க் தொ2வி ஹொத்3யாஸ்,Bicycle had been kept in the phaavu,ரேழியில் மிதி வண்டி வைக்கப்பட்டு இருந்தது
நெவ்டா3ம் திவிக் தயி ஹொத்3யாஸ்,There was a long bench placed in the corridor,நடைபாதையில் ஒரு நீண்ட இருக்கை போடப்பட்டிருந்தது
தெனு ப4ராடு3 நெவ்டா3ம் பி3ஸி காப்பி பியாஸி,They sat on the veranda and drank coffee,அவர்கள் வராண்டாவில் அமர்ந்து காபி குடித்தார்கள்
கொ2ட்டாம் ஒஸ்துன் வத்தொ கெர்லேத் ஹொத்3யாஸ்,Relatives were chatting in the hall,பெரியஅறையில் உறவினர்கள் பேசிக் கொண்டிருந்தனர்
எல்லெ ஹுரிம் 62 கஸென் ஸே,The school has 62 rooms,இப்பள்ளியில் 62 அறைகள் உள்ளன
ஹும்ப்4ராம் நேதானு லோஸுனுக் ஸொவ்ண்டடி3 ஹொத்3யாஸ்,Photos of the leaders were hung in the room,அறையில் தலைவர்களின் புகைப்படங்கள் மாட்டியிருந்தார்கள்
ஹுஜால் ந்ஹீனாத்தெ ஹால் தௌரம் ஹந்தா3ர் ஹொதெ3ஸ்,The room was dark due to lack of light,வெளிச்சம் இல்லாததால் அறை இருட்டாக இருந்தது
இத்கெ ஹொவ்ரிந் ர்ஹியெத் மெல்லொ பு2ரரனி,"Many rooms are there, not enough though",பல அறைகள் இருந்தும் போதுமானதாக இல்லை
பு2ட்டெ முட்டெ ஸமானுன் அஸ்கி ந்ஹென்னஹொவ்ரிம் ஹொதெ3ஸ்,"All broken, useless materials were in the small room",ஓட்டை உடைசல் பொருட்கள் அனைத்தும் சிறிய அறையில் இருந்தன
புஜாஹொவ்ரிக் சொக்கட் ஸிங்க3ரி ஹொத்3யாஸ்,The prayer room was well decorated,பூஜை அறையை நன்றாக அலங்கரித்திருந்தார்கள்
தூ4ம்கின் தேலு காட் ஹால் ஹந்த3வ் தௌரம் காலொ ஹொதெ3ஸ்,The kitchen was black due to smoke and oil stains,புகை மற்றும் எண்ணெய் கறை காரணமாக சமையலறை கருப்பாக இருந்தது
ஜெமரியொ தௌரம் ஹந்த3வ் தௌரமுக் லொகு3த்தொ ர்ஹனொ,The dining room should be close to the kitchen,சாப்பாட்டு அறை சமையலறைக்கு அருகில் இருக்க வேண்டும்
ஸ்னானுகொ2ட்டாம் ஹுன்னபனி அவரனி,There was no hot water in the bathroom,குளியலறையில் வெந்நீர் வரவில்லை
ஶயனுகொ2ட்டாம் ஸில்லொ வரா பெடி ஸேத்தெ,The bedroom has air conditioner,படுக்கையறையில் குளிரூட்டி உள்ளது
போ3 வஸனுகொ2ட்டாம் ஸமாசார்பத்ரொ சொவ்தி3லேத் ர்ஹான்,Dad will be reading the newspaper in the living room,அப்பா அறையில் செய்தித்தாள் படித்துக் கொண்டிருப்பார்
காமிர வாட் பொவ்ஸுபனி பி4த்தர் அவரஸ்,Rainwater is coming in through the window,ஜன்னல் வழியாக மழைநீர் உள்ளே வருகிறது
விடி3ம் தாளு விஜனொ குஸ்கி ஹொத்3யாஸ்,There was a palm fan plugin in the window,ஜன்னலில் பனை விசிறி சொருகி இருந்தது
ம்ஹொடொ3விடி3 பூ4ய்ஞ் த3ளா கொ2ட்டாக் ஆத3ர்ஶொ ஹொயெயொ,French windows are ideal for ground floor rooms,பெரிய சாளரங்கள் தரை தள அறைகளுக்கு ஏற்றது
ஹொடா3ரும் பொவ்ஸ் பொடி3 பொஷானும் செது3ரரஸ்,It rains in the courtyard and splashes on the sidewalk,முற்றத்தில் மழை பெய்து நடைக்கூடத்தில் தெறிக்கிறது
ஐனாம் பொ3ட்டான் ஸுக்கரஸ்,The clothes are drying in the courtyard,முற்றத்தில் துணிகள் உலர்கின்றன
ஒளெனும் ர்ஹீ பொவ்ஸு பனி ஹொடா3ரும் லுச்சாரஸ்,Rainwater pours into the courtyard from the roof canal,கூரை கால்வாயிலிருந்து முற்றத்தில் மழைநீர் கொட்டுகிறது
பா3ஞ்ஜி ஹால் பி4த்தர்ஹொடார் ஜி2ர்க்காரஸ்,The inner courtyard is slippery due to fungus,பூஞ்சை காரணமாக உள் முற்றம் சறுக்குகிறது
மலொ வாயு மூலாம் ப4ந்து3னொ,The toilet should be built in the northwest corner,கழிப்பறையை வடமேற்கு மூலையில் கட்ட வேண்டும்
தூம்பா3ம் பு3த்3து3ரா பனி ஜாரஸ்,Sewage goes into the sewer,கழிவு நீரோடையில் கழிவுநீர் செல்கிறது
ஸ்னானுகொ2ட்டொம் ர்ஹீ முறி பனி ரேணிஸும் ஜாரஸ்,Dirty water from the bathroom goes into the sewer,குளியலறையில் இருந்து அழுக்கு நீர் கழிவு நீரோடையில் செல்கிறது
பு3த்3து3ரா பனி ஜெள்ஜாரும் ர்ஹீ கவ்லாம் ஜாரஸ்,Sewage goes to canal through drainage,கழிவுநீர் வடிகால் வழியாக கால்வாயில் செல்கிறது
பொவ்ஸு கலமு கவ்லொ பொ4ரி த4மஸு,"During the rainy season, the water in the canal overflows",மழைக் காலங்களில் கால்வாயில் தண்ணீர் பெருக்கெடுத்து ஓடுகிறது
பீ4த் உன்னொ பொட3யொ 9 போ3ட் தெ3ள்கொ ர்ஹனொ,The wall should be at least 9 inches thick,சுவர் குறைந்தது 9 அங்குல தடிமனாக இருக்க வேண்டும்
பி4த்தி பொ3லோம்கன் ர்ஹனொ,The foundation of the wall should be strong,சுவரின் அடித்தளம் வலுவாக இருக்க வேண்டும்
கவாட்3 ஹூட். தூ4ம் ப4ராட் ஜாந்தொ,Open the door. Let the smoke out,கதவை திற. புகை வெளியேறட்டும்
கவாடு3கீ2ல் கெ4ட்டி சௌல்ரஸ்,The door latch is holding very tight,கதவு தாழ்ப்பாள் மிகவும் இறுக்கமாகப் பிடித்திருக்கிறது
கொன்கீ கவாடு3 கி4ணிங்கா3ட் ஹனராஸ்,Someone rings the doorbell,யாரோ கதவு மணியை அடிக்கிறார்கள்
கொ2ப்3பி3ம் கீ2ள் தகி3 ர்ஹாத்தெ ப3ரொ,It is always good to put the latch on,எப்போதும் தாழ்ப்பாள் போடுவது நல்லது
தி3ண்டு3க்கல் பீ3க் வேன் ப்ரஸித்3தி4 ஹொயெயொ,Dindigul lock is very popular,திண்டுக்கல் பூட்டு மிகவும் பிரபலமானது
பூட் தயெ ப2ராது பீ3க் பொ4த்3ரம் தொ2வ்லெ,Secure the key after locking the door,பூட்டிய பிறகு சாவியைப் பாதுகாப்பாக வைத்திரு
நெட்ஷத்ரு வஸனுஶாலாம் விஜிலியணு பி3காத் வவ்ரஸுன்,Electronic keys are used in star hotels,நட்சத்திர ஓட்டல்களில் மின்னணு சாவி பயன்படுத்துகிறார்கள்
பொ3ண்டி3 பி3யாத் கோட் ஸே?,Where is the car key?,கார் சாவி எங்கே இருக்கிறது?
பீ3 தி3யெ பிள்டி ஸொகன் வத்தொ கெரராஸ்,He speaks like a toy driven by a key,சாவி கொடு பொம்மை போல் பேசுகிறார்
அவ்ரெ ஐங்கே4ரம்பொ3 ஸவ்லாம் கில்னாஶேர்பணி குஸ்கில்ர்ஹான்,My grandmother use to have key-bunch inserted in her sari,என் பாட்டி புடவையில் சாவி கொத்து செருகியிருப்பார்
குடொ3 கே4ருபொட்ளொ ஹொல்லொ ஹிப்3பி3 ஸே,The rooster stands on the roof of the house,சேவல் வீட்டின் கூரையில் நிற்கிறது
அம்பொ3 கொ4வ்லாம் தி3வொ பொ4வ்ரிஸ்,Mom lit the lamp in the wall gable,அம்மா சுவர் மாடத்தில் விளக்கு ஏற்றினாள்
சிட3மத்திம் ர்ஹீ க2பி3ரி கெரராஸ்,They make tiles from clay,களிமண்ணிலிருந்து ஓடுகள் செய்கிறார்கள்
படன் பொகட் க2புரா கே4ர் து3ஸ்தலு,Tile houses are rare in urban areas,நகர்ப்புறங்களில் ஓடு வீடுகள் அரிது
ஜ2ன்னிக் ஸாமான்யொகன் உம்ப்3ராம் தொ2வன்,The broom is usually placed in the corner,விளக்குமாறு பொதுவாக மூலையில் வைப்பார்கள்
